interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,supply,stand_alone_batteries,hybrid_batteries
2025-04-01T08:25:00-07:00,2025-04-01 15:25:00+00:00,2025-04-01T08:30:00-07:00,2025-04-01 15:30:00+00:00,-2816,-2321,-458
2025-04-01T08:30:00-07:00,2025-04-01 15:30:00+00:00,2025-04-01T08:35:00-07:00,2025-04-01 15:35:00+00:00,-2593,-2157,-426
2025-04-01T08:35:00-07:00,2025-04-01 15:35:00+00:00,2025-04-01T08:40:00-07:00,2025-04-01 15:40:00+00:00,-2717,-2208,-531
2025-04-01T08:40:00-07:00,2025-04-01 15:40:00+00:00,2025-04-01T08:45:00-07:00,2025-04-01 15:45:00+00:00,-2626,502,-551
2025-04-01T08:45:00-07:00,2025-04-01 15:45:00+00:00,2025-04-01T08:50:00-07:00,2025-04-01 15:50:00+00:00,-2841,-2292,-572
2025-04-01T08:50:00-07:00,2025-04-01 15:50:00+00:00,2025-04-01T08:55:00-07:00,2025-04-01 15:55:00+00:00,-3158,-2644,-605
2025-04-01T08:55:00-07:00,2025-04-01 15:55:00+00:00,2025-04-01T09:00:00-07:00,2025-04-01 16:00:00+00:00,-3326,502,-669
2025-04-01T09:00:00-07:00,2025-04-01 16:00:00+00:00,2025-04-01T09:05:00-07:00,2025-04-01 16:05:00+00:00,-3249,-2802,-367
2025-04-01T09:05:00-07:00,2025-04-01 16:05:00+00:00,2025-04-01T09:10:00-07:00,2025-04-01 16:10:00+00:00,-3185,-2952,-207
2025-04-01T09:10:00-07:00,2025-04-01 16:10:00+00:00,2025-04-01T09:15:00-07:00,2025-04-01 16:15:00+00:00,-3397,-3117,-318
2025-04-01T09:15:00-07:00,2025-04-01 16:15:00+00:00,2025-04-01T09:20:00-07:00,2025-04-01 16:20:00+00:00,-3531,-3083,-409
2025-04-01T09:20:00-07:00,2025-04-01 16:20:00+00:00,2025-04-01T09:25:00-07:00,2025-04-01 16:25:00+00:00,-3030,502,-582
2025-04-01T09:25:00-07:00,2025-04-01 16:25:00+00:00,2025-04-01T09:30:00-07:00,2025-04-01 16:30:00+00:00,-2934,502,-623
2025-04-01T09:30:00-07:00,2025-04-01 16:30:00+00:00,2025-04-01T09:35:00-07:00,2025-04-01 16:35:00+00:00,-2924,-2295,-661
2025-04-01T09:35:00-07:00,2025-04-01 16:35:00+00:00,2025-04-01T09:40:00-07:00,2025-04-01 16:40:00+00:00,-3456,-2894,-615
